id,is_terminated,is_working,is_available,lastWorked,busyTime,up_time,idle_time,efficiency,created_time
i30-f14,true,false,true,420.003668,156.101681,419.386000,263.284319,0.372215,0.626000
i31-f15,true,false,true,419.986082,119.448785,419.347000,299.898215,0.284845,0.665000
i19-f3,true,false,true,415.500691,52.528655,419.599000,367.070345,0.125188,0.413000
i27-f11,true,false,true,277.497746,82.646273,419.430000,336.783727,0.197044,0.582000
i26-f10,true,false,true,1.357129,0.776768,300.793129,300.016361,0.002582,0.564000
i22-f6,true,false,true,1.344272,0.829100,300.864272,300.035172,0.002756,0.480000
i23-f7,true,false,true,1.333662,0.829495,300.830662,300.001167,0.002757,0.503000
i29-f13,true,false,true,1.328751,0.717751,300.717751,300.000000,0.002387,0.611000
i20-f4,true,false,true,1.280207,0.839769,300.844207,300.004438,0.002791,0.436000
i21-f5,true,false,true,1.279662,0.819802,300.820662,300.000860,0.002725,0.459000
i28-f12,true,false,true,1.254513,0.658513,300.658513,300.000000,0.002190,0.596000
i25-f9,true,false,true,1.234228,0.689541,300.691228,300.001687,0.002293,0.543000
i16-f0,true,false,true,1.206431,0.854220,300.864431,300.010211,0.002839,0.342000
i14-f14,true,false,true,1.198252,0.860139,300.908252,300.048113,0.002858,0.290000
i24-f8,true,false,true,1.197797,0.677797,300.677797,300.000000,0.002254,0.520000
i8-f8,true,false,true,1.187924,0.960719,301.010924,300.050205,0.003192,0.177000
i17-f1,true,false,true,1.187769,0.822769,300.822769,300.000000,0.002735,0.365000
i12-f12,true,false,true,1.028771,0.774284,300.774771,300.000487,0.002574,0.254000
i18-f2,true,false,true,1.026774,0.639774,300.639774,300.000000,0.002128,0.387000
i10-f10,true,false,true,1.025129,0.776768,300.809129,300.032361,0.002582,0.216000
i0-f0,true,false,true,1.012431,0.854220,301.012431,300.158211,0.002838,0.000000
i11-f11,true,false,true,1.010789,0.773945,300.774789,300.000844,0.002573,0.236000
i6-f6,true,false,true,0.989272,0.829100,300.861272,300.032172,0.002756,0.128000
i13-f13,true,false,true,0.986751,0.717751,300.717751,300.000000,0.002387,0.269000
i7-f7,true,false,true,0.981662,0.829495,300.830662,300.001167,0.002757,0.151000
i2-f2,true,false,true,0.940493,0.810267,300.906493,300.096226,0.002693,0.034000
i5-f5,true,false,true,0.927662,0.819802,300.820662,300.000860,0.002725,0.107000
i4-f4,true,false,true,0.924207,0.839769,300.843207,300.003438,0.002791,0.081000
i15-f15,true,false,true,0.897942,0.581942,300.581942,300.000000,0.001936,0.316000
i9-f9,true,false,true,0.897228,0.689541,300.697228,300.007687,0.002293,0.200000
i1-f1,true,false,true,0.835769,0.822769,300.822769,300.000000,0.002735,0.013000
i3-f3,true,false,true,0.831558,0.748430,300.774558,300.026128,0.002488,0.057000
