id,status,created_time,response_time,hops,responses
0,200,0.000000,0.643947,[i0-f0],[0.643947]
2,200,0.044000,0.639774,[i2-f2],[0.639774]
4,200,0.085000,0.599562,[i4-f4],[0.599562]
35,200,0.664000,0.027842,[i0-f0],[0.027842]
5,200,0.099000,0.600140,[i5-f5],[0.60014]
3,200,0.065000,0.639872,[i3-f3],[0.639872]
6,200,0.111000,0.595569,[i6-f6],[0.595569]
9,200,0.170000,0.581313,[i9-f9],[0.581313]
10,200,0.195000,0.563738,[i10-f10],[0.563738]
8,200,0.147000,0.677797,[i8-f8],[0.677797]
7,200,0.130000,0.697833,[i7-f7],[0.697833]
1,200,0.021000,0.822769,[i1-f1],[0.822769]
39,200,0.742000,0.108558,[i3-f3],[0.108558]
11,200,0.214000,0.639156,[i11-f11],[0.639156]
44,200,0.847000,0.032850,[i1-f1],[0.03285]
15,200,0.308000,0.581942,[i15-f15],[0.581942]
41,200,0.786000,0.108228,[i9-f9],[0.108228]
12,200,0.238000,0.658513,[i12-f12],[0.658513]
37,200,0.701000,0.219662,[i5-f5],[0.219662]
38,200,0.721000,0.206259,[i6-f6],[0.206259]
14,200,0.290000,0.639255,[i14-f14],[0.639255]
40,200,0.761000,0.193901,[i10-f10],[0.193901]
43,200,0.830000,0.131662,[i7-f7],[0.131662]
16,200,0.327000,0.643947,[i16-f0],[0.643947]
49,200,0.945000,0.027272,[i6-f6],[0.027272]
13,200,0.265000,0.717751,[i13-f13],[0.717751]
42,200,0.805000,0.182431,[i0-f0],[0.182431]
20,200,0.395000,0.599562,[i20-f4],[0.599562]
45,200,0.865000,0.134789,[i11-f11],[0.134789]
18,200,0.363000,0.639774,[i18-f2],[0.639774]
51,200,0.989000,0.031198,[i0-f0],[0.031198]
19,200,0.381000,0.639872,[i19-f3],[0.639872]
21,200,0.421000,0.600140,[i21-f5],[0.60014]
47,200,0.915000,0.115771,[i12-f12],[0.115771]
22,200,0.445000,0.595569,[i22-f6],[0.595569]
48,200,0.934000,0.129632,[i14-f14],[0.129632]
46,200,0.891000,0.174176,[i15-f15],[0.174176]
25,200,0.505000,0.581313,[i25-f9],[0.581313]
26,200,0.527000,0.563738,[i26-f10],[0.563738]
55,200,1.069000,0.043002,[i15-f15],[0.043002]
50,200,0.970000,0.142840,[i7-f7],[0.14284]
52,200,1.002000,0.118930,[i11-f11],[0.11893]
58,200,1.124000,0.019242,[i11-f11],[0.019242]
23,200,0.459000,0.697833,[i23-f7],[0.697833]
24,200,0.483000,0.677797,[i24-f8],[0.677797]
17,200,0.341000,0.822769,[i17-f1],[0.822769]
