id,status,created_time,response_time,hops,responses
0,200,0.000000,4.259960,[i0-f0],[4.25996]
22,200,4.384000,0.224467,[i0-f0],[0.224467]
3,200,0.594000,4.455017,[i3-f3],[4.455017]
2,200,0.408000,4.658820,[i2-f2],[4.65882]
1,200,0.220000,4.895513,[i1-f1],[4.895513]
24,200,4.794000,0.355759,[i0-f0],[0.355759]
4,200,0.781000,4.430569,[i4-f4],[4.430569]
26,200,5.193000,0.177269,[i0-f0],[0.177269]
6,200,1.167000,4.383529,[i6-f6],[4.383529]
5,200,0.959000,4.598357,[i5-f5],[4.598357]
27,200,5.394000,0.185178,[i0-f0],[0.185178]
7,200,1.360000,4.389902,[i7-f7],[4.389902]
28,200,5.594000,0.203589,[i0-f0],[0.203589]
9,200,1.778000,4.231563,[i9-f9],[4.231563]
8,200,1.560000,4.463018,[i8-f8],[4.463018]
29,200,5.779000,0.286018,[i7-f7],[0.286018]
30,200,5.964000,0.204841,[i0-f0],[0.204841]
10,200,1.972000,4.256767,[i10-f10],[4.256767]
31,200,6.168000,0.299631,[i7-f7],[0.299631]
32,200,6.364000,0.379041,[i10-f10],[0.379041]
33,200,6.585000,0.230950,[i7-f7],[0.23095]
12,200,2.369000,4.515524,[i12-f12],[4.515524]
34,200,6.782000,0.204900,[i10-f10],[0.2049]
14,200,2.808000,4.443003,[i14-f14],[4.443003]
35,200,6.954000,0.305730,[i12-f12],[0.30573]
11,200,2.180000,5.127253,[i11-f11],[5.127253]
15,200,3.000000,4.323255,[i15-f15],[4.323255]
36,200,7.159000,0.204540,[i10-f10],[0.20454]
16,200,3.186000,4.259960,[i16-f0],[4.25996]
13,200,2.591000,4.883530,[i13-f13],[4.88353]
37,200,7.367000,0.205205,[i10-f10],[0.205205]
38,200,7.567000,0.283530,[i13-f13],[0.28353]
39,200,7.743000,0.204137,[i10-f10],[0.204137]
40,200,7.904000,0.273363,[i13-f13],[0.273363]
19,200,3.774000,4.455017,[i19-f3],[4.455017]
18,200,3.573000,4.658820,[i18-f2],[4.65882]
17,200,3.384000,4.895513,[i17-f1],[4.895513]
41,200,8.089000,0.205028,[i10-f10],[0.205028]
